"_id","count","duplicated","ip","netaddr","port","tag"
"624152a8f2360000a8006f93","1","0","0000:0000:0000:0000:0000:ffff:afd6:3a64","[{""time"":1648032610,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:afd6:3a64"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:afd6:3a64"",""from_time"":1648032611773}]"
"624152a8f2360000a8006f94","1","0","0000:0000:0000:0000:0000:ffff:b919:3007","[{""time"":1648045586,""services"":5,""ip"":""0000:0000:0000:0000:0000:ffff:b919:3007"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:b919:3007"",""from_time"":1648045586619}]"
"624152a8f2360000a8006f95","1","0","0000:0000:0000:0000:0000:ffff:c04a:811e","[{""time"":1648029811,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:c04a:811e"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:c04a:811e"",""from_time"":1648029812395}]"
"624152a8f2360000a8006f96","2","1","0000:0000:0000:0000:0000:ffff:416c:2920","[{""time"":1648029455,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:416c:2920"",""port"":8333},{""time"":1648032037,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:416c:2920"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:416c:2920"",""from_time"":1648029454383},{""from_ip"":""0000:0000:0000:0000:0000:ffff:416c:2920"",""from_time"":1648032037645}]"
"624152a8f2360000a8006f97","1","0","0000:0000:0000:0000:0000:ffff:bc7e:05c3","[{""time"":1648034078,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:bc7e:05c3"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:bc7e:05c3"",""from_time"":1648034076945}]"
"624152a8f2360000a8006f98","1","0","0000:0000:0000:0000:0000:ffff:5fd8:f235","[{""time"":1648029013,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:5fd8:f235"",""port"":12853}]","12853","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:5fd8:f235"",""from_time"":1648029014283}]"
"624152a8f2360000a8006f99","1","0","0000:0000:0000:0000:0000:ffff:ba02:ab28","[{""time"":1648029315,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:ba02:ab28"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:ba02:ab28"",""from_time"":1648029313153}]"
"624152a8f2360000a8006f9d","1","0","0000:0000:0000:0000:0000:ffff:b9c5:a388","[{""time"":1648030214,""services"":13,""ip"":""0000:0000:0000:0000:0000:ffff:b9c5:a388"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:b9c5:a388"",""from_time"":1648030221606}]"
"624152a8f2360000a8006fa2","1","0","0000:0000:0000:0000:0000:ffff:2249:6560","[{""time"":1648029551,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:2249:6560"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:2249:6560"",""from_time"":1648029545501}]"
"624152a8f2360000a8006fa3","1","0","0000:0000:0000:0000:0000:ffff:2e1c:8422","[{""time"":1648035732,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:2e1c:8422"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:2e1c:8422"",""from_time"":1648035732538}]"
"624152a8f2360000a8006fa4","1","0","0000:0000:0000:0000:0000:ffff:8e5d:e46f","[{""time"":1648041007,""services"":5,""ip"":""0000:0000:0000:0000:0000:ffff:8e5d:e46f"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:8e5d:e46f"",""from_time"":1648041006359}]"
"624152a8f2360000a8006fa6","1","0","0000:0000:0000:0000:0000:ffff:add4:f31b","[{""time"":1648038909,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:add4:f31b"",""port"":7661}]","7661","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:add4:f31b"",""from_time"":1648038913137}]"
"624152a8f2360000a8006fa8","1","0","0000:0000:0000:0000:0000:ffff:340a:aaba","[{""time"":1648032057,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:340a:aaba"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:340a:aaba"",""from_time"":1648032057937}]"
"624152a8f2360000a8006fa9","1","0","0000:0000:0000:0000:0000:ffff:49b0:0471","[{""time"":1648043174,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:49b0:0471"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:49b0:0471"",""from_time"":1648043174514}]"
"624152a8f2360000a8006faa","1","0","0000:0000:0000:0000:0000:ffff:3e14:eb6a","[{""time"":1648040207,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:3e14:eb6a"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:3e14:eb6a"",""from_time"":1648040204691}]"
"624152a8f2360000a8006fab","1","0","0000:0000:0000:0000:0000:ffff:42a0:80d7","[{""time"":1648044476,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:42a0:80d7"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:42a0:80d7"",""from_time"":1648044477130}]"
"624152a8f2360000a8006fb0","1","0","0000:0000:0000:0000:0000:ffff:adbe:91a1","[{""time"":1648034844,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:adbe:91a1"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:adbe:91a1"",""from_time"":1648034842173}]"
"624152a8f2360000a8006fb1","1","0","0000:0000:0000:0000:0000:ffff:55d6:8f57","[{""time"":1648034550,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:55d6:8f57"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:55d6:8f57"",""from_time"":1648034540379}]"
"624152a8f2360000a8006fb2","1","0","0000:0000:0000:0000:0000:ffff:aa85:16f7","[{""time"":1648043934,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:aa85:16f7"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:aa85:16f7"",""from_time"":1648043934311}]"
"624152a8f2360000a8006fb6","1","0","0000:0000:0000:0000:0000:ffff:3274:1dfe","[{""time"":1648032559,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:3274:1dfe"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:3274:1dfe"",""from_time"":1648032570416}]"
"624152a8f2360000a8006fb7","1","0","0000:0000:0000:0000:0000:ffff:369e:3b06","[{""time"":1648039826,""services"":1097,""ip"":""0000:0000:0000:0000:0000:ffff:369e:3b06"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:369e:3b06"",""from_time"":1648039826744}]"
"624152a8f2360000a8006fb8","1","0","0000:0000:0000:0000:0000:ffff:43b7:1d7b","[{""time"":1648043617,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:43b7:1d7b"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:43b7:1d7b"",""from_time"":1648043617227}]"
"624152a8f2360000a8006fba","1","0","0000:0000:0000:0000:0000:ffff:d917:0850","[{""time"":1648036788,""services"":5,""ip"":""0000:0000:0000:0000:0000:ffff:d917:0850"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:d917:0850"",""from_time"":1648036790767}]"
"624152a8f2360000a8006fbc","2","1","0000:0000:0000:0000:0000:ffff:b9ec:0957","[{""time"":1648029670,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:b9ec:0957"",""port"":8333},{""time"":1648032943,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:b9ec:0957"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:b9ec:0957"",""from_time"":1648029674826},{""from_ip"":""0000:0000:0000:0000:0000:ffff:b9ec:0957"",""from_time"":1648032949033}]"
"624152a8f2360000a8006fbd","1","0","0000:0000:0000:0000:0000:ffff:416c:4289","[{""time"":1648045157,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:416c:4289"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:416c:4289"",""from_time"":1648045157868}]"
"624152a8f2360000a8006fbe","1","0","0000:0000:0000:0000:0000:ffff:4fa1:c093","[{""time"":1648030161,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:4fa1:c093"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4fa1:c093"",""from_time"":1648030274744}]"
"624152a8f2360000a8006fc0","1","0","0000:0000:0000:0000:0000:ffff:c1c6:44b9","[{""time"":1648029979,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:c1c6:44b9"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:c1c6:44b9"",""from_time"":1648029979010}]"
"624152a8f2360000a8006fc3","1","0","0000:0000:0000:0000:0000:ffff:4217:eedc","[{""time"":1648034460,""services"":1101,""ip"":""0000:0000:0000:0000:0000:ffff:4217:eedc"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4217:eedc"",""from_time"":1648034460433}]"
"624152a9f2360000a8006fc5","1","0","0000:0000:0000:0000:0000:ffff:5fd9:cf26","[{""time"":1648038628,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:5fd9:cf26"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:5fd9:cf26"",""from_time"":1648038628373}]"
"624152a9f2360000a8006fc6","1","0","0000:0000:0000:0000:0000:ffff:4d64:14b2","[{""time"":1648034544,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:4d64:14b2"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4d64:14b2"",""from_time"":1648034540594}]"
"624152a9f2360000a8006fc7","1","0","2001:1620:4396:0000:0000:0000:0000:0003","[{""time"":1648030087,""services"":1033,""ip"":""2001:1620:4396:0000:0000:0000:0000:0003"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:b9b7:c396"",""from_time"":1648030084274}]"
"624152a9f2360000a8006fc8","1","0","0000:0000:0000:0000:0000:ffff:bca5:e505","[{""time"":1648032564,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:bca5:e505"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:bca5:e505"",""from_time"":1648032564070}]"
