198.245.61.76,5,http://198.245.61.76:9091,502,
198.27.67.60,5,https://198.27.67.60:443,200,"<title>
		NextCloudPi		</title>"
198.27.67.60,5,http://198.27.67.60:4000,500,
198.27.67.60,5,https://198.27.67.60:9444,403,
198.27.67.60,5,http://198.27.67.60:9080,200,"<title>
		NextCloudPi		</title>"
198.27.67.60,5,https://198.27.67.60:8000,200,<title>this is a good version of html</title>
198.27.67.60,5,http://198.27.67.60:80,404,
198.27.67.60,5,https://198.27.67.60:9443,200,"<title>
		NextCloudPi		</title>"
198.27.67.60,5,https://198.27.67.60:4443,401,
198.27.67.60,5,https://198.27.67.60:8443,200,<title></title>
198.27.67.60,5,http://198.27.67.60:7000,502,
51.81.93.86,5,https://51.81.93.86:443,,
51.81.93.86,5,http://51.81.93.86:80,502,
147.135.65.180,5,http://147.135.65.180:8020,502,
147.135.65.180,5,http://147.135.65.180:8000,502,
147.135.65.180,5,http://147.135.65.180:3000,502,
147.135.65.180,5,http://147.135.65.180:80,200,<title>Welcome to nginx!</title>
147.135.65.180,5,http://147.135.65.180:8030,502,
15.164.169.212,6,http://15.164.169.212:80,502,
13.124.60.74,6,http://13.124.60.74:8332,405,
13.124.60.74,6,http://13.124.60.74:80,502,
108.198.146.105,7,http://108.198.146.105:80,200,
108.198.146.105,7,http://108.198.146.105:443,400,
99.36.167.158,7,http://99.36.167.158:8181,200,<title>Tautulli - Login</title>
162.237.78.132,7,http://162.237.78.132:32400,401,
162.237.78.132,7,http://162.237.78.132:5900,502,
193.198.34.24,8,http://193.198.34.24:8332,405,
193.198.34.24,8,https://193.198.34.24:60443,,
193.198.34.24,8,http://193.198.34.24:80,502,
119.8.52.129,9,http://119.8.52.129:80,200,<title>æ²¡ææ¾å°ç«ç¹</title>
120.79.92.64,9,http://120.79.92.64:8332,403,
120.79.92.64,9,http://120.79.92.64:8000,404,
47.106.161.182,9,http://47.106.161.182:8000,404,
47.106.161.182,9,http://47.106.161.182:8332,403,
72.74.34.99,10,https://72.74.34.99:443,,
72.74.34.99,10,http://72.74.34.99:5000,502,
96.237.231.17,10,https://96.237.231.17:80,,
96.237.231.17,10,https://96.237.231.17:443,200,<title>Bloggy McBlogFace</title>
96.237.231.17,10,http://96.237.231.17:8081,404,
108.20.175.197,10,http://108.20.175.197:9000,502,
173.48.155.112,10,http://173.48.155.112:1042,502,
173.48.155.112,10,http://173.48.155.112:10243,502,
173.48.155.112,10,http://173.48.155.112:5357,502,
96.250.85.237,10,http://96.250.85.237:80,200,<title>TurnKey NGINX PHP FastCGI Server</title>
96.250.85.237,10,http://96.250.85.237:8332,502,
173.56.235.225,10,https://173.56.235.225:443,,
173.56.235.225,10,http://173.56.235.225:80,502,
173.54.122.6,10,http://173.54.122.6:8091,502,
