ip,is_http,is_https,is_ssh,is_smtp,is_imap,is_ftp,is_pop,is_other,bitcoin_port,bitcoin_service_num,bitcoin_protocol_version,bitcoin_user_agent,longitude,latitude,organization
13.113.139.174,1,0,0,0,0,0,0,1,8333,1033,70015,/Satoshi:0.20.1(Omni:0.11.0)/,139.731993,35.709026,AMAZON-02
18.176.200.244,1,1,0,0,0,0,0,0,8333,1033,70016,/Satoshi:0.21.1/,139.731993,35.709026,AMAZON-02
54.65.201.164,1,1,0,0,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,139.731993,35.709026,AMAZON-02
202.239.42.192,1,0,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.17.1/,139.731993,35.709026,IDC Frontier Inc.
13.231.85.192,0,0,1,0,0,0,0,0,8333,1037,70015,/Satoshi:0.17.1/,139.731993,35.709026,AMAZON-02
54.199.164.163,1,0,0,0,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,139.731993,35.709026,AMAZON-02
160.16.219.87,1,0,0,0,0,0,0,0,8333,1036,70015,/Satoshi:0.16.0/,139.731993,35.709026,SAKURA Internet Inc.
106.167.184.22,0,0,0,0,0,0,0,0,8333,1032,70016,/Satoshi:22.0.0/,139.642345,35.447507,KDDI CORPORATION
106.163.158.127,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,139.147809,36.049959,KDDI CORPORATION
116.58.171.67,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,138.252924,36.204824,NTT PC Communications
117.74.45.247,0,0,1,0,0,0,0,0,8333,1033,70016,/Satoshi:0.21.0/,136.906565,35.180188,KATCH NETWORK INC.
58.158.0.86,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:23.0.0/,135.519661,34.686297,ARTERIA Networks Corporation
40.74.80.66,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,135.502165,34.693738,MICROSOFT-CORP-MSN-AS-BLOCK
153.127.253.219,0,1,1,0,0,0,0,1,8333,1033,70015,/Satoshi:0.20.0/,135.502165,34.693738,KAGOYA JAPAN Inc.
220.233.178.199,1,1,0,1,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,133.397995,-24.9121,Exetel Pty Ltd
194.165.30.20,1,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,131.885757,43.115719,Internet Ltd.
175.214.58.100,1,1,1,1,0,1,0,1,8333,1033,70016,/Satoshi:0.21.0/,127.538453,37.409667,Korea Telecom
115.68.73.150,1,0,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.17.0.1/,126.991138,37.553674,SMILESERV
13.209.125.83,0,0,0,0,0,0,0,0,8333,1033,70015,/Satoshi:0.19.0.1/,126.991138,37.553674,AMAZON-02
211.34.233.241,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,126.991138,37.553674,Korea Telecom
14.39.151.167,1,1,1,0,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,126.991138,37.553674,Korea Telecom
15.164.181.146,1,0,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.16.0/,126.991138,37.553674,AMAZON-02
211.233.9.195,1,0,0,0,0,0,0,0,8333,1033,70015,/Satoshi:0.20.1/,126.991138,37.553674,LG DACOM Corporation
13.124.74.157,1,1,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.18.1/,126.991138,37.553674,AMAZON-02
13.125.202.178,0,1,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.16.0/,126.991138,37.553674,AMAZON-02
121.78.60.134,1,0,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.16.99/,126.991138,37.553674,KINX
13.209.5.125,1,0,1,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,126.991138,37.553674,AMAZON-02
13.209.215.189,1,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,126.991138,37.553674,AMAZON-02
211.233.16.218,1,1,1,0,0,0,0,0,8333,1033,70015,/Satoshi:0.20.1/,126.991138,37.553674,LG DACOM Corporation
52.78.163.216,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:0.21.1/,126.991138,37.553674,AMAZON-02
15.164.169.212,1,0,1,0,0,0,0,0,8333,1033,70015,/Satoshi:0.20.1(Omni:0.11.0)/,126.991138,37.553674,AMAZON-02
115.68.52.240,1,1,0,0,0,0,0,0,8333,5,70012,/Satoshi:0.12.1(bitcore)/,126.991138,37.553674,SMILESERV
52.79.120.163,0,0,1,0,0,0,0,0,8333,12,70015,/Satoshi:0.14.99/,126.991138,37.553674,AMAZON-02
115.68.109.9,1,0,0,0,0,0,0,1,8333,1033,70015,/Satoshi:0.19.1/,126.991138,37.553674,SMILESERV
211.233.16.206,1,0,0,0,0,0,0,1,8333,1033,70015,/Satoshi:0.20.1/,126.991138,37.553674,LG DACOM Corporation
141.164.39.196,1,1,1,0,0,1,0,0,8333,1032,70016,/Satoshi:0.21.0/,126.991138,37.553674,AS-CHOOPA
13.124.60.74,1,1,0,0,0,0,0,0,8333,1033,70015,/Satoshi:0.20.1/,126.991138,37.553674,AMAZON-02
52.78.60.35,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:0.21.1/,126.991138,37.553674,AMAZON-02
13.209.102.77,1,1,1,0,0,0,0,0,8333,5,70012,/Satoshi:0.12.1(bitcore)/,126.991138,37.553674,AMAZON-02
15.165.33.136,0,0,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.17.0/,126.991138,37.553674,AMAZON-02
220.133.39.61,1,0,1,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,121.565427,25.032964,Data Communication Business Group
211.75.236.78,0,0,0,0,0,0,0,1,8333,1033,70016,/Satoshi:0.21.0/,121.565427,25.032964,Data Communication Business Group
60.244.109.18,1,1,1,0,0,0,0,0,8333,1037,70015,/Satoshi:0.18.1/,121.565427,25.032964,Asia Pacific Broadband Fixed Lines Co.
122.116.90.171,1,1,1,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,121.565427,25.032964,Data Communication Business Group
60.251.129.61,1,1,0,0,0,0,0,1,8336,1037,70015,/Satoshi:0.17.1/,121.565427,25.032964,Data Communication Business Group
139.198.190.246,0,0,0,0,0,0,0,1,8333,1033,70015,/Satoshi:0.20.1/,121.476753,31.224349,Yunify Technologies Inc.
